block_size_in,block_size_out,data_type,latency
1,1,float,5.329e-05
1,1,"ap_fixed<32, 16>",2.161e-05
1,2,float,2.6885e-05
1,2,"ap_fixed<32, 16>",1.1045e-05
1,4,float,1.3525000000000002e-05
1,4,"ap_fixed<32, 16>",5.5250000000000005e-06
1,8,float,6.7650000000000005e-06
1,8,"ap_fixed<32, 16>",2.765e-06
1,16,float,3.385e-06
1,16,"ap_fixed<32, 16>",1.385e-06
2,1,float,2.9130000000000004e-05
2,1,"ap_fixed<32, 16>",1.153e-05
2,2,float,1.4885e-05
2,2,"ap_fixed<32, 16>",5.925e-06
2,4,float,7.445000000000001e-06
2,4,"ap_fixed<32, 16>",2.9650000000000004e-06
2,8,float,3.7250000000000003e-06
2,8,"ap_fixed<32, 16>",1.4850000000000002e-06
2,16,float,1.875e-06
2,16,"ap_fixed<32, 16>",7.45e-07
4,1,float,1.809e-05
4,1,"ap_fixed<32, 16>",6.410000000000001e-06
4,2,float,9.125e-06
4,2,"ap_fixed<32, 16>",3.3650000000000004e-06
4,4,float,4.565e-06
4,4,"ap_fixed<32, 16>",1.685e-06
4,8,float,2.305e-06
4,8,"ap_fixed<32, 16>",8.450000000000001e-07
4,16,float,1.1550000000000002e-06
4,16,"ap_fixed<32, 16>",4.2500000000000006e-07
8,1,float,1.2810000000000001e-05
8,1,"ap_fixed<32, 16>",4.01e-06
8,2,float,6.565000000000001e-06
8,2,"ap_fixed<32, 16>",2.165e-06
8,4,float,3.3250000000000004e-06
8,4,"ap_fixed<32, 16>",1.0850000000000002e-06
8,8,float,1.6650000000000002e-06
8,8,"ap_fixed<32, 16>",5.450000000000001e-07
8,16,float,8.35e-07
8,16,"ap_fixed<32, 16>",2.75e-07
16,1,float,1.1210000000000001e-05
16,1,"ap_fixed<32, 16>",3.21e-06
16,2,float,5.765e-06
16,2,"ap_fixed<32, 16>",1.765e-06
16,4,float,2.8850000000000003e-06
16,4,"ap_fixed<32, 16>",8.85e-07
16,8,float,1.4250000000000001e-06
16,8,"ap_fixed<32, 16>",4.4500000000000003e-07
16,16,float,8.550000000000001e-07
16,16,"ap_fixed<32, 16>",2.2500000000000002e-07
